wellbeing,SocialConnections,Country,Language,Weird,Setting,Tablet
-0.074783136,High,Canada,English,1,In a lab,Computers
-0.713923769,High,Canada,English,1,In a lab,Computers
0.714494247,High,Canada,English,1,In a lab,Computers
0.437824928,High,Canada,English,1,In a lab,Computers
0.093671572,High,Canada,English,1,In a lab,Computers
1.124684691,High,Canada,English,1,In a lab,Tablets
-0.488132055,High,Canada,English,1,In a lab,Computers
0.382595056,High,Canada,English,1,In a lab,Tablets
0.391157139,High,Canada,English,1,In a lab,Computers
0.52586983,High,Canada,English,1,In a lab,Computers
0.479609069,High,Canada,English,1,In a lab,Tablets
0.615235102,High,Canada,English,1,In a lab,Tablets
-0.005714152,High,Canada,English,1,In a lab,Computers
-0.054486849,High,Canada,English,1,In a lab,Computers
-0.74727018,High,Canada,English,1,In a lab,Computers
0.32472667,High,Canada,English,1,In a lab,Computers
0.37178784,High,Canada,English,1,In a lab,Tablets
-0.475217705,High,Canada,English,1,In a lab,Tablets
-1.063478508,High,Canada,English,1,In a lab,Computers
0.958475115,High,Canada,English,1,In a lab,Computers
1.058254222,High,Canada,English,1,In a lab,Computers
-1.270025276,High,Canada,English,1,In a lab,Computers
-0.037882643,High,Canada,English,1,In a lab,Computers
-1.347265187,High,Canada,English,1,In a lab,Computers
-0.145830451,High,Canada,English,1,In a lab,Computers
-1.059393044,High,Canada,English,1,In a lab,Computers
0.519019273,High,Canada,English,1,In a lab,Computers
0.31760931,High,Canada,English,1,In a lab,Computers
-1.663080132,High,Canada,English,1,In a lab,Computers
0.911020563,High,Canada,English,1,In a lab,Computers
0.34674813,High,Canada,English,1,In a lab,Computers
0.880703823,High,Canada,English,1,In a lab,Computers
-0.750035273,High,Canada,English,1,In a lab,Computers
-0.738174491,High,Canada,English,1,In a lab,Tablets
-1.03237723,High,Canada,English,1,In a lab,Computers
0.149688208,High,Canada,English,1,In a lab,Computers
-0.607153882,High,Canada,English,1,In a lab,Computers
-0.289765409,High,Canada,English,1,In a lab,Computers
0.157070145,High,Canada,English,1,In a lab,Computers
0.3381724,High,Canada,English,1,In a lab,Computers
0.142039467,High,Canada,English,1,In a lab,Computers
0.656359058,High,Canada,English,1,In a lab,Computers
-0.370428373,High,Canada,English,1,In a lab,Computers
-0.486291725,High,Canada,English,1,In a lab,Computers
0.057951224,High,Canada,English,1,In a lab,Computers
1.141162319,High,Canada,English,1,In a lab,Computers
-0.024043531,High,Canada,English,1,In a lab,Computers
-0.055933798,High,Canada,English,1,In a lab,Computers
-0.056987364,High,Canada,English,1,In a lab,Computers
-0.413266081,High,Canada,English,1,In a lab,Computers
-0.259715473,High,Canada,English,1,In a lab,Computers
-0.970687958,High,Canada,English,1,In a lab,Computers
-1.175258621,High,Canada,English,1,In a lab,Computers
-0.503024734,High,Canada,English,1,In a lab,Computers
-0.63575687,High,Canada,English,1,In a lab,Computers
-0.359494579,High,Canada,English,1,In a lab,Computers
-0.417489544,High,Canada,English,1,In a lab,Computers
0.800827623,High,Canada,English,1,In a lab,Computers
-0.893970232,High,Canada,English,1,In a lab,Computers
-1.479339363,High,Canada,English,1,In a lab,Computers
0.485012677,High,Canada,English,1,In a lab,Computers
-0.10456627,High,Canada,English,1,In a lab,Computers
-0.45465684,High,Canada,English,1,In a lab,Computers
0.368629365,High,Canada,English,1,In a lab,Computers
0.263179848,High,Canada,English,1,In a lab,Computers
-1.254868019,High,Canada,English,1,In a lab,Computers
0.579388175,High,Canada,English,1,In a lab,Computers
0.670464973,High,Canada,English,1,In a lab,Tablets
-0.475484509,High,Canada,English,1,In a lab,Computers
-1.222306146,High,Canada,English,1,In a lab,Computers
-0.794457929,High,Canada,English,1,In a lab,Tablets
-0.04723149,High,Canada,English,1,In a lab,Computers
0.354650028,High,Canada,English,1,In a lab,Tablets
-0.584092501,High,Canada,English,1,In a lab,Tablets
-0.560499739,High,Canada,English,1,In a lab,Computers
-0.732770883,High,Canada,English,1,In a lab,Computers
-0.657904908,High,Canada,English,1,In a lab,Computers
0.000869601,High,Canada,English,1,In a lab,Computers
0.985886537,High,Canada,English,1,In a lab,Computers
0.459832742,High,Canada,English,1,In a lab,Computers
0.219543956,High,Canada,English,1,In a lab,Computers
-0.008746049,High,Canada,English,1,In a lab,Computers
0.054919328,High,Canada,English,1,In a lab,Computers
0.496213275,High,Canada,English,1,In a lab,Computers
-1.159694336,High,Canada,English,1,In a lab,Computers
-0.055273613,High,Canada,English,1,In a lab,Computers
-0.082431877,High,Canada,English,1,In a lab,Computers
-0.71893177,High,Canada,English,1,In a lab,Computers
-0.21659954,High,Canada,English,1,In a lab,Computers
-0.431061853,High,Canada,English,1,In a lab,Tablets
-0.545073453,High,Canada,English,1,In a lab,Tablets
-0.769151416,High,Canada,English,1,In a lab,Computers
-0.007565903,High,Canada,English,1,In a lab,Computers
-0.718400389,High,Canada,English,1,In a lab,Computers
0.105658934,High,Canada,English,1,In a lab,Computers
-0.135809998,High,Canada,English,1,In a lab,Computers
-0.459793645,High,Canada,English,1,In a lab,Computers
-0.00781906,High,Canada,English,1,In a lab,Computers
-0.602548458,High,Canada,English,1,In a lab,Computers
0.066386729,High,Canada,English,1,In a lab,Computers
0.512297521,High,Canada,English,1,In a lab,Computers
-0.500257416,High,Canada,English,1,In a lab,Tablets
0.662296272,High,Canada,English,1,In a lab,Computers
-0.883036438,High,Canada,English,1,In a lab,Computers
-0.471261046,High,Canada,English,1,In a lab,Computers
0.315771205,High,Canada,English,1,In a lab,Computers
-0.113001774,High,Canada,English,1,In a lab,Computers
0.345034378,High,Canada,English,1,In a lab,Computers
0.717652722,High,Canada,English,1,In a lab,Computers
-0.796171681,High,Canada,English,1,In a lab,Computers
-1.173671448,High,Canada,English,1,In a lab,Computers
-0.243757805,High,Canada,English,1,In a lab,Computers
0.698143199,High,Canada,English,1,In a lab,Computers
0.31511102,High,Canada,English,1,In a lab,Computers
0.129125117,High,Canada,English,1,In a lab,Computers
-0.071091055,High,Canada,English,1,In a lab,Computers
-0.678201196,High,Canada,English,1,In a lab,Computers
0.296655063,High,Canada,English,1,In a lab,Computers
0.519679458,High,Canada,English,1,In a lab,Computers
-0.965677731,High,Canada,English,1,In a lab,Computers
-0.96528435,High,Canada,English,1,In a lab,Computers
0.871874937,High,Canada,English,1,In a lab,Computers
-0.794724733,High,Canada,English,1,In a lab,Computers
0.490683088,High,Canada,English,1,In a lab,Computers
-0.840720915,High,Canada,English,1,In a lab,Computers
0.35122475,High,Canada,English,1,In a lab,Computers
0.467481483,High,Canada,English,1,In a lab,Tablets
-1.099859041,High,Canada,English,1,In a lab,Computers
-0.201847086,High,Canada,English,1,In a lab,Computers
-0.365951753,High,Canada,English,1,In a lab,Computers
0.387872086,High,Canada,English,1,In a lab,Computers
-0.037882643,High,Canada,English,1,In a lab,Computers
0.390637179,High,Canada,English,1,In a lab,Tablets
-0.817125928,High,Canada,English,1,In a lab,Computers
-0.190773067,High,Canada,English,1,In a lab,Tablets
-0.683604804,High,Canada,English,1,In a lab,Tablets
0.318536298,High,Canada,English,1,In a lab,Computers
-0.157031048,High,Canada,English,1,In a lab,Computers
-0.800128341,High,Canada,English,1,In a lab,Tablets
-1.065063456,High,Canada,English,1,In a lab,Computers
-0.172317109,High,Canada,English,1,In a lab,Computers
0.115946189,High,Canada,English,1,In a lab,Computers
-0.184582695,High,Canada,English,1,In a lab,Computers
1.085932447,High,Canada,English,1,In a lab,Tablets
-0.603070644,High,Canada,English,1,In a lab,Computers
-0.032605614,High,Canada,English,1,In a lab,Computers
-0.6525013,High,Canada,English,1,In a lab,Computers
0.500830119,High,Canada,English,1,In a lab,Computers
0.315377823,High,Canada,English,1,In a lab,Computers
0.698143199,High,Canada,English,1,In a lab,Computers
0.783956614,High,Canada,English,1,In a lab,Computers
0.360587242,High,Canada,English,1,In a lab,Tablets
-1.259346864,High,Canada,English,1,In a lab,Computers
-1.296385356,High,Canada,English,1,In a lab,Computers
-1.711979408,High,Canada,English,1,In a lab,Computers
0.757989915,High,Canada,English,1,In a lab,Computers
-1.485796537,High,Canada,English,1,In a lab,Computers
0.299293578,High,Canada,English,1,In a lab,Computers
-0.403512432,High,Canada,English,1,In a lab,Computers
0.237479952,High,Canada,English,1,In a lab,Computers
0.606673019,High,Canada,English,1,In a lab,Computers
-0.396788454,High,Canada,English,1,In a lab,Computers
0.185942162,High,Canada,English,1,In a lab,Computers
0.373232563,High,Canada,English,1,In a lab,Computers
1.367345189,High,Canada,English,1,In a lab,Tablets
0.664667984,High,Canada,English,1,In a lab,Tablets
-0.36766328,High,Canada,English,1,In a lab,Tablets
-1.921026691,High,Canada,English,1,In a lab,Computers
0.186335544,High,Canada,English,1,In a lab,Computers
-0.450433377,High,Canada,English,1,In a lab,Computers
-0.52240768,High,Canada,English,1,In a lab,Computers
0.265551559,High,Canada,English,1,In a lab,Computers
-1.384303679,High,Canada,English,1,In a lab,Computers
0.601269411,High,Canada,English,1,In a lab,Computers
-0.345782044,High,Canada,English,1,In a lab,Computers
-1.60100193,High,Canada,English,1,In a lab,Computers
-1.205435136,High,Canada,English,1,In a lab,Computers
-1.034355559,High,Canada,English,1,In a lab,Computers
-0.078601796,High,Canada,English,1,In a lab,Computers
0.969282331,High,Canada,English,1,In a lab,Computers
0.042400585,High,Canada,English,1,In a lab,Computers
-0.732112923,High,Canada,English,1,In a lab,Tablets
-0.090867382,High,Canada,English,1,In a lab,Computers
-0.529916196,High,Canada,English,1,In a lab,Computers
-0.628515157,High,Canada,English,1,In a lab,Computers
-1.165771776,High,Canada,English,1,In a lab,Computers
0.647796975,High,Canada,English,1,In a lab,Computers
-0.136470183,High,Canada,English,1,In a lab,Computers
0.954783034,High,Canada,English,1,In a lab,Computers
0.730578493,High,Canada,English,1,In a lab,Computers
-0.763747808,High,Canada,English,1,In a lab,Computers
0.255264303,High,Canada,English,1,In a lab,Computers
-0.255618588,High,Canada,English,1,In a lab,Computers
-0.586337634,High,Canada,English,1,In a lab,Computers
-0.252853495,High,Canada,English,1,In a lab,Computers
-0.182337562,High,Canada,English,1,In a lab,Computers
-0.353824167,High,Canada,English,1,In a lab,Computers
-0.003469019,High,Canada,English,1,In a lab,Computers
-0.870250892,High,Canada,English,1,In a lab,Computers
0.033824856,High,Canada,English,1,In a lab,Computers
-0.195643068,High,Canada,English,1,In a lab,Computers
-0.951447462,High,Canada,English,1,In a lab,Computers
0.293496588,High,Canada,English,1,In a lab,Computers
-0.859570254,High,Canada,English,1,In a lab,Computers
-0.260628814,High,Canada,English,1,In a lab,Computers
-0.168765253,High,Canada,English,1,In a lab,Computers
0.177633236,High,Canada,English,1,In a lab,Computers
0.366244007,High,Canada,English,1,In a lab,Tablets
-0.330484562,High,Canada,English,1,In a lab,Computers
-0.334974828,High,Canada,English,1,In a lab,Computers
-0.771258549,High,Canada,English,1,In a lab,Computers
0.100522129,High,Canada,English,1,In a lab,Computers
-0.985582862,High,Canada,English,1,In a lab,Computers
-0.672671009,High,Canada,English,1,In a lab,Computers
0.085236068,High,Canada,English,1,In a lab,Computers
0.183430226,High,Canada,English,1,In a lab,Computers
-0.099429465,High,Canada,English,1,In a lab,Computers
-0.666607216,High,Canada,English,1,In a lab,Computers
0.316164587,High,Canada,English,1,In a lab,Computers
0.116999756,High,Canada,English,1,In a lab,Computers
-0.710889647,High,Canada,English,1,In a lab,Computers
-0.229260733,High,Canada,English,1,In a lab,Computers
-1.228510164,High,Canada,English,1,In a lab,Computers
0.534965519,High,Canada,English,1,In a lab,Tablets
-0.701135998,High,Canada,English,1,In a lab,Tablets
-0.620599613,High,Canada,English,1,In a lab,Computers
-1.368359659,High,Canada,English,1,In a lab,Computers
0.545646157,High,Canada,English,1,In a lab,Computers
0.296655063,High,Canada,English,1,In a lab,Computers
-0.18246414,High,Canada,English,1,In a lab,Computers
-0.27341436,High,Canada,English,1,In a lab,Tablets
-0.508835371,High,Canada,English,1,In a lab,Computers
-0.36568495,High,Canada,English,1,In a lab,Computers
-1.246699317,High,Canada,English,1,In a lab,Tablets
0.026847721,High,Canada,English,1,In a lab,Tablets
-0.318497201,High,Canada,English,1,In a lab,Tablets
0.454836162,High,Canada,English,1,In a lab,Computers
0.858555784,High,Canada,English,1,In a lab,Computers
-0.685585359,High,Canada,English,1,In a lab,Computers
-0.207644076,High,Canada,English,1,In a lab,Computers
0.570952671,High,Canada,English,1,In a lab,Computers
-0.734878016,High,Canada,English,1,In a lab,Computers
-0.264852277,High,Canada,English,1,In a lab,Computers
-0.241779476,High,Canada,English,1,In a lab,Computers
-0.66541565,High,Canada,English,1,In a lab,Computers
-0.469282716,High,Canada,English,1,In a lab,Computers
1.124684691,High,Canada,English,1,In a lab,Computers
-1.020376222,High,Canada,English,1,In a lab,Computers
-1.561449275,High,Canada,English,1,In a lab,Computers
-0.421434782,High,Canada,English,1,In a lab,Computers
0.830877559,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
0.210981873,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.916511653,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
0.504128819,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.608474252,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-2.397647605,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-1.932494093,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.693487257,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.885143571,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-1.058861663,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.940500022,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.462825541,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-1.524422204,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.953945752,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-1.053064673,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-1.56408779,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.558785987,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.684925174,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.281456483,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-1.003631791,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-1.036980428,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-1.416334171,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
0.004306301,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.464806097,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.65829829,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.776535579,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.042650839,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.237960816,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.459006881,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.403422725,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.572256491,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.600609226,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.074425949,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.697482336,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.741473191,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.473632757,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.317876113,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.242439661,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.052674195,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.234004156,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.678467999,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.512814578,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.097613908,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.125041879,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.023279315,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.088124836,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.501490305,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.26501505,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.099465659,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.711156451,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.57842209,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.558785987,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.868270337,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.07504994,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.035800282,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.363476011,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.662813329,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.782065765,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.501971168,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.43013709,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.348316528,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.06519226,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.014062175,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.501490305,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.362298769,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.525437351,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.45465684,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.165772453,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.249984371,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.3073357,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.431367753,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-1.007855254,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.014328979,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.057771902,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.041561078,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
-0.77758692,High,"Hong Kong, China",Chinese (traditional),0,In a classroom,Computers
0.676008806,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.877619183,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
0.130052105,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
0.263840033,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.198674964,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.029826874,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-1.446384108,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.179038862,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.922308642,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.673317548,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.744364862,High,"Hong Kong, China",Chinese (traditional),0,Other (please indicate),Tablets
-0.340378436,High,China,Chinese (simplified),0,In a lab,Tablets
-0.018879433,High,China,Chinese (simplified),0,In a lab,Tablets
-0.558519184,High,China,Chinese (simplified),0,In a lab,Tablets
0.006286856,High,China,Chinese (simplified),0,In a lab,Computers
-0.572751678,High,China,Chinese (simplified),0,In a lab,Tablets
-1.229294702,High,China,Chinese (simplified),0,In a lab,Computers
-0.36568495,High,China,Chinese (simplified),0,In a lab,Computers
-1.29717212,High,China,Chinese (simplified),0,In a lab,Tablets
0.819943765,High,China,Chinese (simplified),0,In a lab,Tablets
-0.248501228,High,China,Chinese (simplified),0,In a lab,Computers
-0.106673403,High,China,Chinese (simplified),0,In a lab,Computers
0.482514387,High,China,Chinese (simplified),0,In a lab,Tablets
-1.31839317,High,China,Chinese (simplified),0,In a lab,Computers
0.089321531,High,China,Chinese (simplified),0,In a lab,Tablets
-0.816465743,High,China,Chinese (simplified),0,In a lab,Computers
-0.411678907,High,China,Chinese (simplified),0,In a lab,Computers
-1.075072487,High,China,Chinese (simplified),0,In a lab,Tablets
-0.941551363,High,China,Chinese (simplified),0,In a lab,Tablets
0.24868055,High,China,Chinese (simplified),0,In a lab,Computers
-0.193273582,High,China,Chinese (simplified),0,In a lab,Tablets
-0.2205562,High,China,Chinese (simplified),0,In a lab,Tablets
0.083917923,High,China,Chinese (simplified),0,In a lab,Computers
-0.094545817,High,China,Chinese (simplified),0,In a lab,Tablets
0.066920336,High,China,Chinese (simplified),0,In a lab,Computers
-0.530967537,High,China,Chinese (simplified),0,In a lab,Computers
-0.381362168,High,China,Chinese (simplified),0,In a lab,Computers
-0.633118355,High,China,Chinese (simplified),0,In a lab,Computers
0.158657319,High,China,Chinese (simplified),0,In a lab,Computers
-0.069899489,High,China,Chinese (simplified),0,In a lab,Computers
-0.514096528,High,China,Chinese (simplified),0,In a lab,Computers
-0.880917883,High,China,Chinese (simplified),0,In a lab,Computers
-0.747663562,High,China,Chinese (simplified),0,In a lab,Tablets
-0.492482096,High,China,Chinese (simplified),0,In a lab,Computers
-0.434220328,High,China,Chinese (simplified),0,In a lab,Tablets
0.07535584,High,China,Chinese (simplified),0,In a lab,Computers
-1.172353303,High,China,Chinese (simplified),0,In a lab,Tablets
-1.332892468,High,China,Chinese (simplified),0,In a lab,Tablets
0.601269411,High,China,Chinese (simplified),0,In a lab,Tablets
-0.706005999,High,China,Chinese (simplified),0,In a lab,Computers
-0.437252224,High,China,Chinese (simplified),0,In a lab,Tablets
0.891117657,High,China,Chinese (simplified),0,In a lab,Tablets
-0.466908779,High,China,Chinese (simplified),0,In a lab,Computers
