"","dept","applicant.gender","admitted"
"1.451","A","male",1
"1.452","A","male",1
"1.453","A","male",1
"1.454","A","male",1
"1.455","A","male",1
"1.456","A","male",1
"1.457","A","male",1
"1.458","A","male",1
"1.459","A","male",1
"1.460","A","male",1
"1.461","A","male",1
"1.462","A","male",1
"1.463","A","male",1
"1.464","A","male",1
"1.465","A","male",1
"1.466","A","male",1
"1.467","A","male",1
"1.468","A","male",1
"1.469","A","male",1
"1.470","A","male",1
"1.471","A","male",1
"1.472","A","male",1
"1.473","A","male",1
"1.474","A","male",1
"1.475","A","male",1
"1.476","A","male",1
"1.477","A","male",1
"1.478","A","male",1
"1.479","A","male",1
"1.480","A","male",1
"1.481","A","male",1
"1.482","A","male",1
"1.483","A","male",1
"1.484","A","male",1
"1.485","A","male",1
"1.486","A","male",1
"1.487","A","male",1
"1.488","A","male",1
"1.489","A","male",1
"1.490","A","male",1
"1.491","A","male",1
"1.492","A","male",1
"1.493","A","male",1
"1.494","A","male",1
"1.495","A","male",1
"1.496","A","male",1
"1.497","A","male",1
"1.498","A","male",1
"1.499","A","male",1
"1.500","A","male",1
"1.501","A","male",1
"1.502","A","male",1
"1.503","A","male",1
"1.504","A","male",1
"1.505","A","male",1
"1.506","A","male",1
"1.507","A","male",1
"1.508","A","male",1
"1.509","A","male",1
"1.510","A","male",1
"1.511","A","male",1
"11","A","male",0
"1.1100","A","male",0
"1.2100","A","male",0
"1.3100","A","male",0
"1.4100","A","male",0
"1.512","A","male",0
"1.610","A","male",0
"1.710","A","male",0
"1.810","A","male",0
"1.910","A","male",0
"1.1010","A","male",0
"1.1110","A","male",0
"1.1210","A","male",0
"1.1310","A","male",0
"1.1410","A","male",0
"1.1510","A","male",0
"1.1610","A","male",0
"1.1710","A","male",0
"1.1810","A","male",0
"1.1910","A","male",0
"1.2010","A","male",0
"1.2110","A","male",0
"1.2210","A","male",0
"1.2310","A","male",0
"1.2410","A","male",0
"1.2510","A","male",0
"1.2610","A","male",0
"1.2710","A","male",0
"1.2810","A","male",0
"1.2910","A","male",0
"1.3010","A","male",0
"1.3110","A","male",0
"1.3210","A","male",0
"1.3310","A","male",0
"1.3410","A","male",0
"1.3510","A","male",0
"1.3610","A","male",0
"1.3710","A","male",0
"1.3810","A","male",0
"1.3910","A","male",0
"1.4010","A","male",0
"1.4110","A","male",0
"1.4210","A","male",0
"1.4310","A","male",0
"1.4410","A","male",0
"1.4510","A","male",0
"1.4610","A","male",0
"1.4710","A","male",0
"1.4810","A","male",0
"1.4910","A","male",0
"1.5010","A","male",0
"1.513","A","male",0
"1.521","A","male",0
"1.531","A","male",0
"1.541","A","male",0
"1.551","A","male",0
"1.561","A","male",0
"1.571","A","male",0
"1.581","A","male",0
"1.591","A","male",0
"1.601","A","male",0
"1.611","A","male",0
"1.621","A","male",0
"1.631","A","male",0
"1.641","A","male",0
"1.651","A","male",0
"1.661","A","male",0
"1.671","A","male",0
"1.681","A","male",0
"1.691","A","male",0
"1.701","A","male",0
"1.711","A","male",0
"1.721","A","male",0
"1.731","A","male",0
"1.741","A","male",0
"1.751","A","male",0
"1.761","A","male",0
"1.771","A","male",0
"1.781","A","male",0
"1.791","A","male",0
"1.801","A","male",0
"1.811","A","male",0
"1.821","A","male",0
"1.831","A","male",0
"1.841","A","male",0
"1.851","A","male",0
"1.861","A","male",0
"1.871","A","male",0
"1.881","A","male",0
"1.891","A","male",0
"1.901","A","male",0
"1.911","A","male",0
"1.921","A","male",0
"1.931","A","male",0
"1.941","A","male",0
"1.951","A","male",0
"1.961","A","male",0
"1.971","A","male",0
"1.981","A","male",0
"1.991","A","male",0
"1.1001","A","male",0
"1.1011","A","male",0
"1.1021","A","male",0
"1.1031","A","male",0
"1.1041","A","male",0
"1.1051","A","male",0
"1.1061","A","male",0
"1.1071","A","male",0
"1.1081","A","male",0
"1.1091","A","male",0
"1.1101","A","male",0
"1.1111","A","male",0
"1.1121","A","male",0
"1.1131","A","male",0
"1.1141","A","male",0
"1.1151","A","male",0
"1.1161","A","male",0
"1.1171","A","male",0
"1.1181","A","male",0
"1.1191","A","male",0
"1.1201","A","male",0
"1.1211","A","male",0
"1.1221","A","male",0
"1.1231","A","male",0
"1.1241","A","male",0
"1.1251","A","male",0
"1.1261","A","male",0
"1.1271","A","male",0
"1.1281","A","male",0
"1.1291","A","male",0
"1.1301","A","male",0
"1.1311","A","male",0
"1.1321","A","male",0
"1.1331","A","male",0
"1.1341","A","male",0
"1.1351","A","male",0
"1.1361","A","male",0
"1.1371","A","male",0
"1.1381","A","male",0
"1.1391","A","male",0
"1.1401","A","male",0
"1.1411","A","male",0
"1.1421","A","male",0
"1.1431","A","male",0
"1.1441","A","male",0
"1.1451","A","male",0
"1.1461","A","male",0
"1.1471","A","male",0
"1.1481","A","male",0
"1.1491","A","male",0
"1.1501","A","male",0
"1.1511","A","male",0
"1.1521","A","male",0
"1.1531","A","male",0
"1.1541","A","male",0
"1.1551","A","male",0
"1.1561","A","male",0
"1.1571","A","male",0
"1.1581","A","male",0
"1.1591","A","male",0
"1.1601","A","male",0
"1.1611","A","male",0
"1.1621","A","male",0
"1.1631","A","male",0
"1.1641","A","male",0
"1.1651","A","male",0
"1.1661","A","male",0
"1.1671","A","male",0
"1.1681","A","male",0
"1.1691","A","male",0
"1.1701","A","male",0
"1.1711","A","male",0
"1.1721","A","male",0
"1.1731","A","male",0
"1.1741","A","male",0
"1.1751","A","male",0
"1.1761","A","male",0
"1.1771","A","male",0
"1.1781","A","male",0
"1.1791","A","male",0
"1.1801","A","male",0
"1.1811","A","male",0
"1.1821","A","male",0
"1.1831","A","male",0
"1.1841","A","male",0
"1.1851","A","male",0
"1.1861","A","male",0
"1.1871","A","male",0
"1.1881","A","male",0
"1.1891","A","male",0
"1.1901","A","male",0
"1.1911","A","male",0
"1.1921","A","male",0
"1.1931","A","male",0
"1.1941","A","male",0
"1.1951","A","male",0
"1.1961","A","male",0
"1.1971","A","male",0
"1.1981","A","male",0
"1.1991","A","male",0
"1.2001","A","male",0
"1.2011","A","male",0
"1.2021","A","male",0
"1.2031","A","male",0
"1.2041","A","male",0
"1.2051","A","male",0
"1.2061","A","male",0
"1.2071","A","male",0
"1.2081","A","male",0
"1.2091","A","male",0
"1.2101","A","male",0
"1.2111","A","male",0
"1.2121","A","male",0
"1.2131","A","male",0
"1.2141","A","male",0
"1.2151","A","male",0
"1.2161","A","male",0
"1.2171","A","male",0
"1.2181","A","male",0
"1.2191","A","male",0
"1.2201","A","male",0
"1.2211","A","male",0
"1.2221","A","male",0
"1.2231","A","male",0
"1.2241","A","male",0
"1.2251","A","male",0
"1.2261","A","male",0
"1.2271","A","male",0
"1.2281","A","male",0
"1.2291","A","male",0
"1.2301","A","male",0
"1.2311","A","male",0
"1.2321","A","male",0
"1.2331","A","male",0
"1.2341","A","male",0
"1.2351","A","male",0
"1.2361","A","male",0
"1.2371","A","male",0
"1.2381","A","male",0
"1.2391","A","male",0
"1.2401","A","male",0
"1.2411","A","male",0
"1.2421","A","male",0
"1.2431","A","male",0
"1.2441","A","male",0
"1.2451","A","male",0
"1.2461","A","male",0
"1.2471","A","male",0
"1.2481","A","male",0
"1.2491","A","male",0
"1.2501","A","male",0
"1.2511","A","male",0
"1.2521","A","male",0
"1.2531","A","male",0
"1.2541","A","male",0
"1.2551","A","male",0
"1.2561","A","male",0
"1.2571","A","male",0
"1.2581","A","male",0
"1.2591","A","male",0
"1.2601","A","male",0
"1.2611","A","male",0
"1.2621","A","male",0
"1.2631","A","male",0
"1.2641","A","male",0
"1.2651","A","male",0
"1.2661","A","male",0
"1.2671","A","male",0
"1.2681","A","male",0
"1.2691","A","male",0
"1.2701","A","male",0
"1.2711","A","male",0
"1.2721","A","male",0
"1.2731","A","male",0
"1.2741","A","male",0
"1.2751","A","male",0
"1.2761","A","male",0
"1.2771","A","male",0
"1.2781","A","male",0
"1.2791","A","male",0
"1.2801","A","male",0
"1.2811","A","male",0
"1.2821","A","male",0
"1.2831","A","male",0
"1.2841","A","male",0
"1.2851","A","male",0
"1.2861","A","male",0
"1.2871","A","male",0
"1.2881","A","male",0
"1.2891","A","male",0
"1.2901","A","male",0
"1.2911","A","male",0
"1.2921","A","male",0
"1.2931","A","male",0
"1.2941","A","male",0
"1.2951","A","male",0
"1.2961","A","male",0
"1.2971","A","male",0
"1.2981","A","male",0
"1.2991","A","male",0
"1.3001","A","male",0
"1.3011","A","male",0
"1.3021","A","male",0
"1.3031","A","male",0
"1.3041","A","male",0
"1.3051","A","male",0
"1.3061","A","male",0
"1.3071","A","male",0
"1.3081","A","male",0
"1.3091","A","male",0
"1.3101","A","male",0
"1.3111","A","male",0
"1.3121","A","male",0
"2","A","female",1
"2.1","A","female",1
"2.2","A","female",1
"2.3","A","female",1
"2.4","A","female",1
"2.5","A","female",1
"2.6","A","female",1
"2.7","A","female",1
"2.8","A","female",1
"2.9","A","female",1
"2.10","A","female",1
"2.11","A","female",1
"2.12","A","female",1
"2.13","A","female",1
"2.14","A","female",1
"2.15","A","female",1
"2.16","A","female",1
"2.17","A","female",1
"2.18","A","female",1
"2.19","A","female",1
"2.20","A","female",1
"2.21","A","female",1
"2.22","A","female",1
"2.23","A","female",1
"2.24","A","female",1
"2.25","A","female",1
"2.26","A","female",1
"2.27","A","female",1
"2.28","A","female",1
"2.29","A","female",1
"2.30","A","female",1
"2.31","A","female",1
"2.32","A","female",1
"2.33","A","female",1
"2.34","A","female",1
"2.35","A","female",1
"2.36","A","female",1
"2.37","A","female",1
"2.38","A","female",1
"2.39","A","female",1
"2.40","A","female",1
"2.41","A","female",1
"2.42","A","female",1
"2.43","A","female",1
"2.44","A","female",1
"2.45","A","female",1
"2.46","A","female",1
"2.47","A","female",1
"2.48","A","female",1
"2.49","A","female",1
"2.50","A","female",1
"2.51","A","female",1
"2.52","A","female",1
"2.53","A","female",1
"2.54","A","female",1
"2.55","A","female",1
"2.56","A","female",1
"2.57","A","female",1
"2.58","A","female",1
"2.59","A","female",1
"2.60","A","female",1
"2.61","A","female",1
"2.62","A","female",1
"2.63","A","female",1
"2.64","A","female",1
"2.65","A","female",1
"2.66","A","female",1
"2.67","A","female",1
"2.68","A","female",1
"2.69","A","female",1
"2.70","A","female",1
"2.71","A","female",1
"2.72","A","female",1
"2.73","A","female",1
"2.74","A","female",1
"2.75","A","female",1
"2.76","A","female",1
"2.77","A","female",1
"2.78","A","female",1
"2.79","A","female",1
"2.80","A","female",1
"2.81","A","female",1
"2.82","A","female",1
"2.83","A","female",1
"2.84","A","female",1
"2.85","A","female",1
"2.86","A","female",1
"2.87","A","female",1
"2.88","A","female",1
"21","A","female",0
"2.110","A","female",0
"2.210","A","female",0
"2.310","A","female",0
"2.410","A","female",0
"2.510","A","female",0
"2.610","A","female",0
"2.710","A","female",0
"2.89","A","female",0
"2.91","A","female",0
"2.101","A","female",0
"2.111","A","female",0
"2.121","A","female",0
"2.131","A","female",0
"2.141","A","female",0
"2.151","A","female",0
"2.161","A","female",0
"2.171","A","female",0
"2.181","A","female",0
"3","B","male",1
"3.1","B","male",1
"3.2","B","male",1
"3.3","B","male",1
"3.4","B","male",1
"3.5","B","male",1
"3.6","B","male",1
"3.7","B","male",1
"3.8","B","male",1
"3.9","B","male",1
"3.10","B","male",1
"3.11","B","male",1
"3.12","B","male",1
"3.13","B","male",1
"3.14","B","male",1
"3.15","B","male",1
"3.16","B","male",1
"3.17","B","male",1
"3.18","B","male",1
"3.19","B","male",1
"3.20","B","male",1
"3.21","B","male",1
"3.22","B","male",1
"3.23","B","male",1
"3.24","B","male",1
"3.25","B","male",1
"3.26","B","male",1
"3.27","B","male",1
"3.28","B","male",1
"3.29","B","male",1
"3.30","B","male",1
"3.31","B","male",1
"3.32","B","male",1
"3.33","B","male",1
"3.34","B","male",1
"3.35","B","male",1
"3.36","B","male",1
"3.37","B","male",1
"3.38","B","male",1
"3.39","B","male",1
"3.40","B","male",1
"3.41","B","male",1
"3.42","B","male",1
"3.43","B","male",1
"3.44","B","male",1
"3.45","B","male",1
"3.46","B","male",1
"3.47","B","male",1
"3.48","B","male",1
"3.49","B","male",1
"3.50","B","male",1
"3.51","B","male",1
"3.52","B","male",1
"3.53","B","male",1
"3.54","B","male",1
"3.55","B","male",1
"3.56","B","male",1
"3.57","B","male",1
"3.58","B","male",1
"3.59","B","male",1
"3.60","B","male",1
"3.61","B","male",1
"3.62","B","male",1
"3.63","B","male",1
"3.64","B","male",1
"3.65","B","male",1
"3.66","B","male",1
"3.67","B","male",1
"3.68","B","male",1
"3.69","B","male",1
"3.70","B","male",1
"3.71","B","male",1
"3.72","B","male",1
"3.73","B","male",1
"3.74","B","male",1
"3.75","B","male",1
"3.76","B","male",1
"3.77","B","male",1
"3.78","B","male",1
"3.79","B","male",1
"3.80","B","male",1
"3.81","B","male",1
"3.82","B","male",1
"3.83","B","male",1
"3.84","B","male",1
"3.85","B","male",1
"3.86","B","male",1
"3.87","B","male",1
"3.88","B","male",1
"3.89","B","male",1
"3.90","B","male",1
"3.91","B","male",1
"3.92","B","male",1
"3.93","B","male",1
"3.94","B","male",1
"3.95","B","male",1
"3.96","B","male",1
"3.97","B","male",1
"3.98","B","male",1
"3.99","B","male",1
"3.100","B","male",1
"3.101","B","male",1
"3.102","B","male",1
"3.103","B","male",1
"3.104","B","male",1
"3.105","B","male",1
"3.106","B","male",1
"3.107","B","male",1
"3.108","B","male",1
"3.109","B","male",1
"3.110","B","male",1
"3.111","B","male",1
"3.112","B","male",1
"3.113","B","male",1
"3.114","B","male",1
"3.115","B","male",1
"3.116","B","male",1
"3.117","B","male",1
"3.118","B","male",1
"3.119","B","male",1
"3.120","B","male",1
"3.121","B","male",1
"3.122","B","male",1
"3.123","B","male",1
"3.124","B","male",1
"3.125","B","male",1
"3.126","B","male",1
"3.127","B","male",1
"3.128","B","male",1
"3.129","B","male",1
"3.130","B","male",1
"3.131","B","male",1
"3.132","B","male",1
"3.133","B","male",1
"3.134","B","male",1
"3.135","B","male",1
"3.136","B","male",1
"3.137","B","male",1
"3.138","B","male",1
"3.139","B","male",1
"3.140","B","male",1
"3.141","B","male",1
"3.142","B","male",1
"3.143","B","male",1
"3.144","B","male",1
"3.145","B","male",1
"3.146","B","male",1
"3.147","B","male",1
"3.148","B","male",1
"3.149","B","male",1
"3.150","B","male",1
"3.151","B","male",1
"3.152","B","male",1
"3.153","B","male",1
"3.154","B","male",1
"3.155","B","male",1
"3.156","B","male",1
"3.157","B","male",1
"3.158","B","male",1
"3.159","B","male",1
"3.160","B","male",1
"3.161","B","male",1
"3.162","B","male",1
"3.163","B","male",1
"3.164","B","male",1
"3.165","B","male",1
"3.166","B","male",1
"3.167","B","male",1
"3.168","B","male",1
"3.169","B","male",1
"3.170","B","male",1
"3.171","B","male",1
"3.172","B","male",1
"3.173","B","male",1
"3.174","B","male",1
"3.175","B","male",1
"3.176","B","male",1
"3.177","B","male",1
"3.178","B","male",1
"3.179","B","male",1
"3.180","B","male",1
"3.181","B","male",1
"3.182","B","male",1
"3.183","B","male",1
"3.184","B","male",1
"3.185","B","male",1
"3.186","B","male",1
"3.187","B","male",1
"3.188","B","male",1
"3.189","B","male",1
"3.190","B","male",1
"3.191","B","male",1
"3.192","B","male",1
"3.193","B","male",1
"3.194","B","male",1
"3.195","B","male",1
"3.196","B","male",1
"3.197","B","male",1
"3.198","B","male",1
"3.199","B","male",1
"3.200","B","male",1
"3.201","B","male",1
"3.202","B","male",1
"3.203","B","male",1
"3.204","B","male",1
"3.205","B","male",1
"3.206","B","male",1
"3.207","B","male",1
"3.208","B","male",1
"3.209","B","male",1
"3.210","B","male",1
"3.211","B","male",1
"3.212","B","male",1
"3.213","B","male",1
"3.214","B","male",1
"3.215","B","male",1
"3.216","B","male",1
"3.217","B","male",1
"3.218","B","male",1
"3.219","B","male",1
"3.220","B","male",1
"3.221","B","male",1
"3.222","B","male",1
"3.223","B","male",1
"3.224","B","male",1
"3.225","B","male",1
"3.226","B","male",1
"3.227","B","male",1
"3.228","B","male",1
"3.229","B","male",1
"3.230","B","male",1
"3.231","B","male",1
"3.232","B","male",1
"3.233","B","male",1
"3.234","B","male",1
"3.235","B","male",1
"3.236","B","male",1
"3.237","B","male",1
"3.238","B","male",1
"3.239","B","male",1
"3.240","B","male",1
"3.241","B","male",1
"3.242","B","male",1
"3.243","B","male",1
"3.244","B","male",1
"3.245","B","male",1
"3.246","B","male",1
"3.247","B","male",1
"3.248","B","male",1
"3.249","B","male",1
"3.250","B","male",1
"3.251","B","male",1
"3.252","B","male",1
"3.253","B","male",1
"3.254","B","male",1
"3.255","B","male",1
"3.256","B","male",1
"3.257","B","male",1
"3.258","B","male",1
"3.259","B","male",1
"3.260","B","male",1
"3.261","B","male",1
"3.262","B","male",1
"3.263","B","male",1
"3.264","B","male",1
"3.265","B","male",1
"3.266","B","male",1
"3.267","B","male",1
"3.268","B","male",1
"3.269","B","male",1
"3.270","B","male",1
"3.271","B","male",1
"3.272","B","male",1
"3.273","B","male",1
"3.274","B","male",1
"3.275","B","male",1
"3.276","B","male",1
"3.277","B","male",1
"3.278","B","male",1
"3.279","B","male",1
"3.280","B","male",1
"3.281","B","male",1
"3.282","B","male",1
"3.283","B","male",1
"3.284","B","male",1
"3.285","B","male",1
"3.286","B","male",1
"3.287","B","male",1
"3.288","B","male",1
"3.289","B","male",1
"3.290","B","male",1
"3.291","B","male",1
"3.292","B","male",1
"3.293","B","male",1
"3.294","B","male",1
"3.295","B","male",1
"3.296","B","male",1
"3.297","B","male",1
"3.298","B","male",1
"3.299","B","male",1
"3.300","B","male",1
"3.301","B","male",1
"3.302","B","male",1
"3.303","B","male",1
"3.304","B","male",1
"3.305","B","male",1
"3.306","B","male",1
"3.307","B","male",1
"3.308","B","male",1
"3.309","B","male",1
"3.310","B","male",1
"3.311","B","male",1
"3.312","B","male",1
"3.313","B","male",1
